_time,flowRate,q_all,meanTb1,Tfin1
2024-11-05 00:20:00+00:00,3.5705648250000004,18.073069125000004,6.289902094339623,4.117030535714287
2024-11-05 00:40:00+00:00,3.067987642857143,16.059817642857144,6.568145748953973,5.707001666666667
2024-11-05 01:00:00+00:00,0.0,0.0,5.802225414225944,7.760234319999999
2024-11-05 01:20:00+00:00,3.2729203499999997,18.81863623529412,5.993035698113209,6.6486728571428575
2024-11-05 01:40:00+00:00,3.2522454090909094,18.071549045454546,6.729366514644354,5.516963333333333
2024-11-05 02:00:00+00:00,0.0,0.0,6.655574112970713,8.045965793103447
2024-11-05 02:20:00+00:00,3.2261154545454547,17.333702444444448,6.351712836477979,8.245012607142856
2024-11-05 02:40:00+00:00,3.4410477058823528,19.439424416666665,6.91492661087866,4.215616750000001
2024-11-05 03:00:00+00:00,0.0,0.0,7.101323225941424,7.490167848484847
2024-11-05 03:20:00+00:00,0.0,0.0,6.170963150627615,8.660558411764706
2024-11-05 03:40:00+00:00,3.451535918918919,20.077028323529415,6.76524480334728,5.336035099999999
2024-11-05 04:00:00+00:00,3.582015025641025,20.218392325000003,7.364271426778247,3.5890225909090914
2024-11-05 04:20:00+00:00,3.579661425,19.746357649999997,6.374289096234302,3.0549451666666663
2024-11-05 04:40:00+00:00,3.484395333333333,18.50905684210527,5.647961782426782,2.796657944444445
2024-11-05 05:00:00+00:00,0.0,0.0,5.384658878661087,6.058926083333334
2024-11-05 05:20:00+00:00,0.0,0.0,5.099446836820089,7.36373618181818
2024-11-05 05:40:00+00:00,3.420896714285713,19.262781031249997,5.75530054393305,5.04201748275862
2024-11-05 06:00:00+00:00,3.5523342820512833,19.70244965,6.5738260878661094,3.18136
2024-11-05 06:20:00+00:00,3.5688032499999998,18.878694975000002,5.922064205020919,2.806117428571429
2024-11-05 06:40:00+00:00,0.0,0.0,5.2623951966527205,5.754025027027026
2024-11-05 07:00:00+00:00,0.0,0.0,4.902415635983264,7.2968051904761895
2024-11-05 07:20:00+00:00,3.4120118437499993,19.24262979310345,5.70443977405858,5.367117821428572
2024-11-05 07:40:00+00:00,3.558848447368421,18.354854410256415,6.321685322175735,3.451253222222222
2024-11-05 08:00:00+00:00,3.5523410000000006,17.922817512820508,5.976996225941423,3.1702338888888884
2024-11-05 08:20:00+00:00,3.562038615384615,19.297218675000003,5.411927598326358,2.5979978666666668
2024-11-05 08:40:00+00:00,2.5044922857142855,11.992634999999998,5.120848274633123,5.19130347368421
2024-11-05 09:00:00+00:00,0.0,0.0,4.664874560669454,6.97622068
2024-11-05 09:20:00+00:00,3.39293672,18.679677958333333,5.34976929140461,5.4376952666666645
2024-11-05 09:40:00+00:00,3.0792360625,16.8118193125,6.180682757322176,5.742254862068966
2024-11-05 10:00:00+00:00,0.0,0.0,5.945216125786161,7.817536555555555
2024-11-05 10:20:00+00:00,3.28167205882353,17.517847800000002,5.952261414225939,6.779689652173913
2024-11-05 10:40:00+00:00,3.2114492222222224,17.720349296296295,6.706595786610875,5.159523681818182
2024-11-05 11:00:00+00:00,0.0,0.0,6.587532234309625,7.812068699999999
2024-11-05 11:20:00+00:00,3.007376285714286,12.92671,6.074466192468616,8.485096409090907
2024-11-05 11:40:00+00:00,3.5564978974358983,17.958740769230772,6.607604435146443,4.601017166666667
2024-11-05 12:00:00+00:00,3.445763050000001,17.99423967500001,7.09597041841004,3.7365385517241383
2024-11-05 12:20:00+00:00,0.0,0.0,6.073892012552296,6.542777324324325
2024-11-05 12:40:00+00:00,0.0,0.0,5.459269150627616,7.956274349999999
2024-11-05 13:00:00+00:00,3.428115060606061,19.71270643333333,6.111523397489536,5.516220156249998
2024-11-05 13:20:00+00:00,2.170608166666667,9.723741666666667,6.763767610878662,6.871282057142857
2024-11-05 13:40:00+00:00,0.0,0.0,6.1471038870292904,8.464053238095238
2024-11-05 14:00:00+00:00,3.384597250000001,19.73670128,6.412219581589959,6.217596620689655
2024-11-05 14:20:00+00:00,2.3617511666666666,12.119622999999999,6.978875853556484,6.827128083333334
2024-11-05 14:40:00+00:00,0.0,0.0,6.6179205606694556,8.7036988
2024-11-05 15:00:00+00:00,3.390517576923077,19.22606344,6.800032132075472,6.311230479999999
2024-11-05 15:20:00+00:00,2.585961714285714,14.589548125,7.140335271966526,6.973049583333332
2024-11-05 15:40:00+00:00,0.8363095,0.0,6.748596970711296,8.841727142857144
2024-11-05 16:00:00+00:00,3.4704556499999994,16.273023815789475,6.929680756813418,6.0165039999999985
2024-11-05 16:20:00+00:00,3.5733998717948716,20.112414174999998,7.37817792050209,4.025517520000001
2024-11-05 16:40:00+00:00,0.0,0.0,6.600528150627619,6.712019648648648
2024-11-05 17:00:00+00:00,0.0,0.0,5.793810280334728,8.251103111111112
2024-11-05 17:20:00+00:00,3.384904625,19.6506185862069,6.516725410041845,5.880718818181817
2024-11-05 17:40:00+00:00,3.174915111111111,17.2656215,6.990479757322172,5.8658980312499995
2024-11-05 18:00:00+00:00,0.0,0.0,6.408905732217574,8.259951240000001
2024-11-05 18:20:00+00:00,3.4561509090909084,16.19500393548387,6.269280472803347,6.133658799999997
2024-11-05 18:40:00+00:00,3.579599657894737,19.778742375,6.984669991631805,3.852854375
2024-11-05 19:00:00+00:00,3.5917799750000006,19.93619905,6.417633623430964,3.209243875
2024-11-05 19:20:00+00:00,2.988416583333333,15.111931916666668,5.688281723849377,5.4354063030303035
2024-11-05 19:40:00+00:00,0.0,0.0,5.251063765690375,7.404062439999999
